hidden: 5    thresh: 0.005    rep: 1/1    steps:    1000	min thresh: 1684672177
                                                    2000	min thresh: 1636232877
                                                    3000	min thresh: 1587793577
                                                    4000	min thresh: 1539354277
                                                    5000	min thresh: 1490914977
                                                    6000	min thresh: 1442475677
                                                    7000	min thresh: 1394036377
                                                    8000	min thresh: 1345597077
                                                    9000	min thresh: 1297157777
                                                   10000	min thresh: 1248718477
                                                   11000	min thresh: 1200279177
                                                   12000	min thresh: 1151839877
                                                   13000	min thresh: 1103400577
                                                   14000	min thresh: 1054961277
                                                   15000	min thresh: 1006521977
                                                   16000	min thresh: 958082677
                                                   17000	min thresh: 909643377
                                                   18000	min thresh: 861204077
                                                   19000	min thresh: 812764777
                                                   20000	min thresh: 764325477
                                                   21000	min thresh: 715886177
                                                   22000	min thresh: 667446877
                                                   23000	min thresh: 619007577
                                                   24000	min thresh: 570568277
                                                   25000	min thresh: 522128977
                                                   26000	min thresh: 473689677
                                                   27000	min thresh: 425250377
                                                   28000	min thresh: 376811077
                                                   29000	min thresh: 328371777
                                                   30000	min thresh: 279932477
                                                   31000	min thresh: 231493177
                                                   32000	min thresh: 183053877
                                                   33000	min thresh: 134614577
                                                   34000	min thresh: 86175277.02
                                                   35000	min thresh: 37735977.02
                                                   36000	min thresh: 1447121.14
                                                   37000	min thresh: 1447121.14
                                                   38000	min thresh: 1447121.14
                                                   39000	min thresh: 1447121.14
                                                   40000	min thresh: 1447121.14
                                                   41000	min thresh: 1447121.14
                                                   42000	min thresh: 1447121.14
                                                   43000	min thresh: 1447121.14
                                                   44000	min thresh: 1447121.14
                                                   45000	min thresh: 1447121.14
                                                   46000	min thresh: 1447121.14
                                                   47000	min thresh: 1447121.14
                                                   48000	min thresh: 1447121.14
                                                   49000	min thresh: 1447121.14
                                                   50000	min thresh: 1447121.14
                                                   51000	min thresh: 1447121.14
                                                   52000	min thresh: 1379992.422
                                                   53000	min thresh: 1294179.231
                                                   54000	min thresh: 1202737.683
                                                   55000	min thresh: 1116924.492
                                                   56000	min thresh: 1031612.457
                                                   57000	min thresh: 939669.7533
                                                   58000	min thresh: 854357.7182
                                                   59000	min thresh: 762415.0143
                                                   60000	min thresh: 677102.9792
                                                   61000	min thresh: 585160.2753
                                                   62000	min thresh: 499848.2401
                                                   63000	min thresh: 414035.0498
                                                   64000	min thresh: 322593.501
                                                   65000	min thresh: 237281.4659
                                                   66000	min thresh: 145338.7619
                                                   67000	min thresh: 89572.43815
                                                   68000	min thresh: 56806.19706
                                                   69000	min thresh: 53183.88069
                                                   70000	min thresh: 34777.73336
                                                   71000	min thresh: 26117.24514
                                                   72000	min thresh: 19861.88771
                                                   73000	min thresh: 12186.49426
                                                   74000	min thresh: 7977.867796
                                                   75000	min thresh: 5706.339038
                                                   76000	min thresh: 3688.254977
                                                   77000	min thresh: 2589.424787
                                                   78000	min thresh: 1620.612695
                                                   79000	min thresh: 1120.568295
                                                   80000	min thresh: 790.5662024
                                                   81000	min thresh: 511.0502663
                                                   82000	min thresh: 361.487698
                                                   83000	min thresh: 250.6829169
                                                   84000	min thresh: 162.9839963
                                                   85000	min thresh: 109.759718
                                                   86000	min thresh: 72.72572029
                                                   87000	min thresh: 50.0750362
                                                   88000	min thresh: 31.91895035
                                                   89000	min thresh: 22.84338702
                                                   90000	min thresh: 15.42248874
                                                   91000	min thresh: 9.701868017
                                                   92000	min thresh: 6.727637136
                                                   93000	min thresh: 3.42792801
                                                   94000	min thresh: 2.356125538
                                                   95000	min thresh: 1.234284967
                                                   96000	min thresh: 0.8381965657
                                                   97000	min thresh: 0.415711349
                                                   98000	min thresh: 0.3174441309
                                                   99000	min thresh: 0.2147431862
                                                  100000	min thresh: 0.1268486664
                                                  101000	min thresh: 0.1059304612
                                                  102000	min thresh: 0.06021740366
                                                  103000	min thresh: 0.03992304755
                                                  104000	min thresh: 0.02077575101
                                                  105000	min thresh: 0.01508914478
                                                  106000	min thresh: 0.007748219659
                                                  107000	min thresh: 0.005365103256
                                                  107060	error: 29683090030221    	time: 3.33 hours
