hidden: 10    thresh: 0.005    rep: 1/1    steps:     100	min thresh: 894996119.8
                                                      200	min thresh: 889629329.8
                                                      300	min thresh: 884262539.8
                                                      400	min thresh: 878895749.8
                                                      500	min thresh: 873528959.8
                                                      600	min thresh: 868162169.8
                                                      700	min thresh: 862795379.8
                                                      800	min thresh: 857428589.8
                                                      900	min thresh: 852061799.8
                                                     1000	min thresh: 846695009.8
                                                     1100	min thresh: 841328219.8
                                                     1200	min thresh: 835961429.8
                                                     1300	min thresh: 830594639.8
                                                     1400	min thresh: 825227849.8
                                                     1500	min thresh: 819861059.8
                                                     1600	min thresh: 814494269.8
                                                     1700	min thresh: 809127479.8
                                                     1800	min thresh: 803760689.8
                                                     1900	min thresh: 798393899.8
                                                     2000	min thresh: 793027109.8
                                                     2100	min thresh: 787660319.8
                                                     2200	min thresh: 782293529.8
                                                     2300	min thresh: 776926739.8
                                                     2400	min thresh: 771559949.8
                                                     2500	min thresh: 766193159.8
                                                     2600	min thresh: 760826369.8
                                                     2700	min thresh: 755459579.8
                                                     2800	min thresh: 750092789.8
                                                     2900	min thresh: 744725999.8
                                                     3000	min thresh: 739359209.8
                                                     3100	min thresh: 733992419.8
                                                     3200	min thresh: 728625629.8
                                                     3300	min thresh: 723258839.8
                                                     3400	min thresh: 717892049.8
                                                     3500	min thresh: 712525259.8
                                                     3600	min thresh: 707158469.8
                                                     3700	min thresh: 701791679.8
                                                     3800	min thresh: 696424889.8
                                                     3900	min thresh: 691058099.8
                                                     4000	min thresh: 685691309.8
                                                     4100	min thresh: 680324519.8
                                                     4200	min thresh: 674957729.8
                                                     4300	min thresh: 669590939.8
                                                     4400	min thresh: 664224149.8
                                                     4500	min thresh: 658857359.8
                                                     4600	min thresh: 653490569.8
                                                     4700	min thresh: 648123779.8
                                                     4800	min thresh: 642756989.8
                                                     4900	min thresh: 637390199.8
                                                     5000	min thresh: 632023409.8
                                                     5100	min thresh: 626656619.8
                                                     5200	min thresh: 621289829.8
                                                     5300	min thresh: 615923039.8
                                                     5400	min thresh: 610556249.8
                                                     5500	min thresh: 605189459.8
                                                     5600	min thresh: 599822669.8
                                                     5700	min thresh: 594455879.8
                                                     5800	min thresh: 589089089.8
                                                     5900	min thresh: 583722299.8
                                                     6000	min thresh: 578355509.8
                                                     6100	min thresh: 572988719.8
                                                     6200	min thresh: 567621929.8
                                                     6300	min thresh: 562255139.8
                                                     6400	min thresh: 556888349.8
                                                     6500	min thresh: 551521559.8
                                                     6600	min thresh: 546154769.8
                                                     6700	min thresh: 540787979.8
                                                     6800	min thresh: 535421189.8
                                                     6900	min thresh: 530054399.8
                                                     7000	min thresh: 524687609.8
                                                     7100	min thresh: 519320819.8
                                                     7200	min thresh: 513954029.8
                                                     7300	min thresh: 508587239.8
                                                     7400	min thresh: 503220449.8
                                                     7500	min thresh: 497853659.8
                                                     7600	min thresh: 492486869.8
                                                     7700	min thresh: 487120079.8
                                                     7800	min thresh: 481753289.8
